MSSV,TC1(/3),TC2(/4),TC3(/2.5),TC4(/0.5),Tổng(/10),Nhận xét ngắn
S0001,3.0,3.5,2.0,0.25,9.0,Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn; phần chuẩn bị có phân loại KSA và nêu học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật sự SMART. Lộ trình 2/5/10 năm rõ mốc và milestone nhưng thiếu rủi ro/backup plan và phần trình bày còn nhiều lỗi định dạng/giãn chữ.
S0002,2.5,3.0,0.0,0.25,6.0,"Bài nêu khá đầy đủ mục tiêu (vị trí, công ty, ngôn ngữ, mong muốn làm việc Singapore, học lên) và có phần chuẩn bị KSA/UIT vs bên ngoài nhưng mục tiêu năm 1-2 chưa thật SMART. Phần lộ trình 2/5/10 năm gần như chưa trình bày nên bị trừ điểm nặng."
S0003,2.75,3.5,2.0,0.25,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và kế hoạch chuẩn bị (KSA, học ở UIT và bên ngoài) tương đối rõ, có một số mục tiêu đo được. Tuy nhiên lộ trình 2/5/10 năm chưa gắn kết chặt và còn thiếu rủi ro/backup plan, phần trình bày còn dài và có lỗi/thiếu mạch lạc ở một số đoạn."
S0004,3.0,3.5,2.0,0.5,9.0,"Bài làm có mục tiêu nghề nghiệp UI/UX khá cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, học thêm) và trình bày rõ ràng. Phần chuẩn bị và lộ trình 2/5/10 năm đầy đủ nhưng một số mốc/milestone còn chung chung và chưa nêu rủi ro/backup plan."
S0005,2.75,3.25,2.0,0.25,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có định hướng quốc tế rõ; phần chuẩn bị KSA và học ở UIT/bên ngoài tương đối tốt nhưng mục tiêu năm 1-2 còn thiếu chỉ số đo cụ thể (SMART). Lộ trình 2/5/10 năm có mốc và milestone hợp lý, tuy nhiên chưa đề cập rủi ro/backup plan và trình bày còn lặp, có lỗi gõ."
S0006,3.0,3.75,2.0,0.5,9.5,"Bài nêu mục tiêu nghề nghiệp rất đầy đủ và có lý do, phần chuẩn bị phân loại KSA rõ và có mục tiêu năm 1-2 khá cụ thể. Lộ trình 2/5/10 năm chi tiết nhưng còn thiếu phần rủi ro/backup plan; trình bày nhìn chung mạch lạc dù còn vài lỗi định dạng."
S0007,2.75,3.5,1.5,0.25,8.0,"Mục tiêu nghề nghiệp nêu khá đầy đủ và có định hướng rõ (vị trí, công ty, tiếng Anh, làm việc nước ngoài, lương, học lên). Phần chuẩn bị chi tiết nhưng lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan, một số mục tiêu còn chung chung."
S0008,3.0,3.75,2.0,0.5,9.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí/công ty/ngôn ngữ/quốc gia/lương/học thêm), phần chuẩn bị có phân loại KSA và mục tiêu năm 1-2 tương đối đo được. Lộ trình 2/5/10 năm rõ nhưng còn thiếu phân tích rủi ro và phương án dự phòng gắn chặt với các mốc."
S0009,3.0,3.0,0.75,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ và có lý do, phần chuẩn bị có phân loại KSA và nêu học ở UIT vs bên ngoài nhưng mục tiêu năm 1-2 chưa thật sự SMART. Lộ trình chưa đúng yêu cầu 2/5/10 năm (mới chủ yếu theo 4 năm đại học) và thiếu rủi ro/backup plan."
S0010,2.75,3.25,2.0,0.5,8.5,"Bài làm đầy đủ các ý mục tiêu nghề nghiệp và kế hoạch chuẩn bị (phân loại KSA, học ở UIT và bên ngoài) khá rõ, lộ trình 2/5/10 năm hợp lý. Tuy nhiên mục tiêu năm 1-2 còn ít chỉ số đo lường (SMART) và chưa nêu rõ rủi ro/backup plan cho lộ trình."
S0011,3.0,3.5,1.5,0.5,8.5,"Mục tiêu nghề nghiệp trình bày khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên); phần chuẩn bị có KSA và mục tiêu năm 1-2 tương đối rõ nhưng một số còn chưa thật SMART. Lộ trình còn thiếu mốc 10 năm và chưa có rủi ro/backup plan nên điểm phần timeline bị trừ."
S0012,3.0,3.5,2.0,0.25,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, nơi làm việc, lương, học lên), phần chuẩn bị có KSA và kế hoạch năm 1-2 tương đối rõ. Lộ trình dài hạn có nhiều mốc nhưng thiếu phần rủi ro/backup plan và một số milestone còn tham vọng; trình bày nhìn chung mạch lạc nhưng còn dài và chưa có nhiều dẫn chứng."
S0013,3.0,3.25,2.0,0.5,9.0,Bài làm đầy đủ mục tiêu nghề nghiệp (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) và trình bày có bố cục rõ. Phần chuẩn bị và lộ trình khá chi tiết nhưng mục tiêu năm 1-2 chưa thật sự đo được (SMART) và chưa nêu rủi ro/backup plan cho lộ trình.
S0014,2.75,3.25,1.5,0.5,8.0,"Bài xác định mục tiêu khá đầy đủ và có lý do lựa chọn; phần chuẩn bị KSA chi tiết, có nêu học ở UIT và bên ngoài. Tuy nhiên lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan, một số mục tiêu còn chưa SMART."
S0015,2.0,2.75,1.5,0.25,6.5,"Bài có nêu hướng đi (Product/Marketing), có nhắc công ty Shopee, ngoại ngữ và mức lương nhưng mục tiêu còn thiếu/khá chung chung (quốc gia, học lên, lý do chọn mục tiêu). Kế hoạch chuẩn bị và lộ trình có các mốc thời gian nhưng chưa phân loại KSA rõ, milestone chưa thật cụ thể/đo được và chưa có rủi ro/backup plan."
S0016,2.5,3.0,1.75,0.5,8.0,"Bài nêu khá rõ mục tiêu UI/UX (vị trí, công ty mong muốn, ngôn ngữ, quốc gia) và có chuẩn bị qua môn học/hoạt động, nhưng còn thiếu mục tiêu lương cá nhân/học lên và các mục tiêu năm 1-2 chưa đủ SMART. Lộ trình 2/5/10 năm có các giai đoạn hợp lý nhưng milestone/kết quả cụ thể và rủi ro/backup plan còn thiếu."
S0017,2.75,2.75,1.75,0.5,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn, trình bày tương đối mạch lạc. Tuy nhiên phần chuẩn bị chưa gắn rõ học ở UIT vs bên ngoài và thiếu mục tiêu năm 1-2 theo SMART; lộ trình chưa đúng mốc 2/5/10 năm và chưa có rủi ro/backup plan."
S0018,3.0,3.25,1.5,0.25,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn (Data Analyst, FPT, ngôn ngữ, quốc gia, lương, học lên). Phần chuẩn bị và lộ trình có nội dung nhưng mục tiêu năm 1-2 chưa thật SMART và timeline chưa đúng mốc 2/5/10 năm, thiếu rủi ro/backup plan."
S0019,3.0,3.5,2.0,0.5,9.0,"Bài làm nêu mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương) và có kế hoạch chuẩn bị KSA tương đối rõ. Lộ trình 2/5/10 năm chi tiết nhưng còn thiếu phần rủi ro/backup plan và một số mục tiêu chưa thật sự SMART."
S0020,2.75,3.25,2.0,0.5,8.5,"Bài làm đầy đủ mục tiêu nghề nghiệp và có phân loại KSA, phân biệt học ở UIT và bên ngoài khá rõ. Tuy nhiên các mục tiêu năm 1-2 còn chưa thật SMART và lộ trình 2/5/10 năm chưa nêu rủi ro/backup plan cụ thể."
S0021,2.5,3.25,1.75,0.5,8.0,"Bài xác định khá rõ hướng Web Developer (mong muốn Shopee) và có kế hoạch chuẩn bị/hoạt động tương đối đầy đủ, kèm mục tiêu ngoại ngữ có chỉ số. Tuy nhiên mục tiêu còn thiếu/ít cụ thể về quốc gia và học lên, timeline 2/5/10 năm chưa gắn milestone-kết quả rõ và chưa có rủi ro/backup plan."
S0022,2.5,2.75,1.75,0.5,7.5,"Bài trình bày khá đầy đủ mục tiêu (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có bố cục rõ. Tuy nhiên phần chuẩn bị và lộ trình còn chung chung, mục tiêu năm 1-2 chưa SMART và thiếu rủi ro/backup plan cho timeline."
S0023,2.75,3.25,2.0,0.5,8.5,"Bài nêu mục tiêu khá cụ thể (vị trí, công ty, ngôn ngữ, lương, học lên) và có lộ trình 2/5/10 năm rõ, nhưng mục tiêu chuẩn bị chưa thật sự SMART và thiếu phần rủi ro/backup plan (cũng như quốc gia mục tiêu chưa nêu rõ)."
S0024,2.75,3.25,2.0,0.5,8.5,"Mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, công nghệ/ngôn ngữ, quốc gia, lương, học lên) và có giải thích. Phần chuẩn bị và lộ trình có cấu trúc tốt nhưng mục tiêu năm 1-2 còn thiếu chỉ số đo lường rõ (SMART) và chưa nêu rủi ro/backup plan cho timeline 2/5/10 năm."
S0025,3.0,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có kế hoạch chuẩn bị KSA kèm nội dung học ở UIT/bên ngoài. Lộ trình 2/5/10 năm chi tiết nhưng chưa nêu rõ rủi ro/backup plan và một số mục tiêu năm 1-2 còn chưa thật sự đo được."
S0026,2.75,3.5,1.5,0.25,8.0,"Mục tiêu nghề nghiệp khá cụ thể (Digital Marketing, Shopee, ngôn ngữ/quốc gia/lương) và kế hoạch chuẩn bị có nhiều mục tiêu đo được (TOEIC/IELTS/MOS, điểm môn). Tuy nhiên lộ trình 2/5/10 năm chưa đầy đủ (thiếu mốc 10 năm và phương án dự phòng), phần phân loại KSA và lập luận còn chưa thật sắc nét."
S0027,3.0,3.25,2.0,0.5,9.0,"Bài làm đầy đủ mục tiêu nghề nghiệp và có lộ trình 2/5/10 năm khá rõ, lập luận nhìn chung mạch lạc. Tuy nhiên phần chuẩn bị (đặc biệt mục tiêu năm 1-2) còn chưa thật SMART/đo được và lộ trình chưa nêu rủi ro hoặc phương án dự phòng."
S0028,2.25,3.5,1.75,0.5,8.0,"Bài làm có mục tiêu nghề nghiệp và kế hoạch chuẩn bị khá đầy đủ, phân loại KSA rõ và có mục tiêu năm 1-2 tương đối cụ thể. Tuy nhiên timeline chưa đúng mốc 2/5/10 năm và còn thiếu quốc gia/lý do lựa chọn cũng như rủi ro/backup plan."
S0029,2.75,3.0,1.75,0.5,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có lý do. Phần chuẩn bị và lộ trình có cấu trúc nhưng mục tiêu năm 1-2 và milestone còn chung chung, chưa SMART và thiếu rủi ro/backup plan."
S0030,3.0,3.5,2.0,0.5,9.0,"Mục tiêu nghề nghiệp rất cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và lập luận hợp lý. Kế hoạch chuẩn bị và lộ trình 2/5/10 năm khá chi tiết nhưng còn thiếu phần rủi ro/backup plan và một số mục tiêu chưa thật sự SMART/ít gắn rõ học ở UIT vs bên ngoài trong mục chuẩn bị."
S0031,3.0,3.0,1.5,0.25,8.0,"Mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có lý do. Phần chuẩn bị chi tiết nhưng chưa nêu rõ học ở UIT vs bên ngoài và lộ trình chưa đúng mốc 2/5/10 năm, thiếu rủi ro/backup plan."
S0032,3.0,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngoại ngữ, nước ngoài, lương, định hướng học thêm) và có lý do lựa chọn. Phần chuẩn bị và lộ trình có hành động/mốc rõ nhưng chưa bám đúng khung 2/5/10 năm và phương án dự phòng/rủi ro trong timeline còn chưa thể hiện rõ."
S0033,2.75,3.5,1.5,0.5,8.5,"Bài làm có mục tiêu nghề nghiệp khá đầy đủ và phần chuẩn bị (KSA, học ở UIT vs bên ngoài) tương đối rõ, có một số mục tiêu đo được (TOEIC, chứng chỉ). Tuy nhiên lộ trình chưa bám đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan nên điểm tiêu chí 3 bị trừ."
S0034,3.0,3.5,2.0,0.5,9.0,"Bài làm đáp ứng đầy đủ mục tiêu nghề nghiệp và phần chuẩn bị có phân loại KSA, nêu được học ở UIT và bồi dưỡng bên ngoài. Lộ trình 2/5/10 năm có mục tiêu-kết quả nhưng còn khá chung chung và thiếu rủi ro/backup plan."
S0035,2.0,3.0,1.5,0.25,7.0,"Bài nêu được định hướng nghề Digital Marketing và có kế hoạch chuẩn bị khá đầy đủ (tiếng Anh, kỹ năng, học phần/hoạt động), nhưng mục tiêu nghề nghiệp còn thiếu các ý như quốc gia/công ty cụ thể (chỉ nêu Shopee), lương/học lên và timeline 10 năm + rủi ro/backup plan chưa rõ. Trình bày có bố cục nhưng còn dài và một số đoạn chung chung/lặp."
S0036,3.0,3.75,2.0,0.5,9.5,"Mục tiêu nghề nghiệp và kế hoạch chuẩn bị khá đầy đủ, có phân loại KSA và mục tiêu năm 1-2 tương đối đo được. Lộ trình 2/5/10 năm rõ nhưng chưa nêu rủi ro và phương án dự phòng."
S0037,2.75,2.5,1.5,0.5,7.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên). Tuy nhiên phần chuẩn bị và lộ trình 2/5/10 năm còn chung chung, thiếu mục tiêu SMART, milestone cụ thể và chưa có rủi ro/backup plan."
