MSSV,TC1(/1.5),TC2(/2),TC3(/3),TC4(/2),TC5(/1.5),Tổng(/10),Nhận xét ngắn
S0001,1.5,1.5,1.75,1.25,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau (E-commerce Sales và Digital Marketing) và mục tiêu nghề nghiệp phù hợp. Tuy nhiên nội dung còn chung chung, ít số liệu/impact, có lỗi trình bày (link/ký tự, mốc thời gian) nên mức độ match theo JD và tính chuyên nghiệp chưa cao."
S0002,0.0,1.5,1.5,1.25,1.25,5.5,"CV có đủ các mục cơ bản, mục tiêu nghề nghiệp khá rõ và có nêu một vài số liệu dự án. Tuy nhiên chỉ thấy 1 CV (chưa đáp ứng yêu cầu 2 vị trí) và phần tuỳ biến theo JD còn chung chung, cần làm rõ thành tựu/impact theo từng yêu cầu."
S0003,1.5,1.5,1.25,1.5,1.0,7.0,"Có đủ 2 CV cho 2 vị trí và mục tiêu nghề nghiệp tương đối rõ. Tuy nhiên nội dung còn ít dự án/kinh nghiệm và thiếu số liệu/thành tựu để thể hiện mức độ khớp với JD, cần cụ thể hóa hơn."
S0004,1.5,1.5,1.5,1.75,1.25,7.5,"Có 2 CV tách riêng theo 2 vị trí (Content/SEO và QL sàn TMĐT), bố cục nhìn chung ổn và thông tin cơ bản khá đầy đủ. Tuy nhiên phần tuỳ biến theo JD và minh chứng kết quả/thành tựu (số liệu, đầu ra) còn thiếu nên mức độ “mapping” chưa mạnh."
S0005,1.5,1.5,2.25,1.5,1.0,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau, CV Digital Marketing có thành tựu/số liệu khá tốt. Tuy nhiên CV Quản lý sàn trình bày còn rối, nhiều mục lặp/thiếu nhất quán và phần tuỳ biến theo yêu cầu vị trí chưa cụ thể."
S0006,1.25,1.5,1.0,1.5,1.0,6.5,"Có 2 CV cho 2 vị trí khác nhau, nội dung cơ bản tương đối đầy đủ nhưng còn chung chung. Cần tùy biến theo JD rõ hơn (nêu công cụ/kỹ năng theo yêu cầu, thành tựu có số liệu) và viết mục tiêu nghề nghiệp gọn, cụ thể hơn."
S0007,1.5,1.5,1.75,1.5,1.0,7.5,"Có 2 CV tách biệt theo 2 vị trí (E-commerce Sales và UX/UI) và nội dung khá đầy đủ. Tuy nhiên phần “match theo JD/impact” còn chung chung, ít số liệu/thành tựu đo được và có một số lỗi trình bày/chính tả, timeline kinh nghiệm chưa thuyết phục."
S0008,1.5,1.5,1.75,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí và nội dung nền tảng khá đầy đủ. Tuy nhiên phần tùy biến theo JD và minh chứng kết quả (số liệu/impact) còn chung chung, cần làm rõ dự án/kinh nghiệm và chuẩn hóa trình bày hơn."
S0009,1.5,1.75,1.5,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí (Data Analyst và E-commerce Platform Manager), thông tin cơ bản khá đầy đủ. Tuy nhiên phần mục tiêu còn dài/chung chung và mapping theo JD chưa nổi bật (ít minh chứng/impact định lượng, một số chỗ chưa nhất quán như ghi Business Analyst trong CV Data Analyst)."
S0010,1.5,1.75,2.25,1.5,1.25,8.5,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung nhìn chung đầy đủ. CV TMĐT có số liệu/impact khá tốt, nhưng CV UI/UX còn thiếu minh chứng (portfolio/link sản phẩm, số liệu) và còn vài lỗi diễn đạt/format."
