MSSV,TC1(/1.5),TC2(/2),TC3(/2.5),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0001,1.25,0.5,1.25,0.5,1.0,4.5,"Bài chọn đủ 2 vị trí và có mô tả, có tổng hợp kỹ năng/tần suất và nêu mức lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), phân tích chưa theo cấu trúc hard/soft/tools và chưa đối chiếu rõ với học phần CTĐT UIT để xác định gap/kế hoạch bù."
S0002,1.5,0.0,1.25,0.0,0.75,3.5,"Bài chọn đúng 2 vị trí và có mô tả công việc/định hướng khảo sát, có thống kê tần suất kỹ năng và nêu lương/portfolio. Tuy nhiên thiếu JD cụ thể (link/nguồn/ngày), chưa phân tích tổng hợp điểm chung-khác theo cấu trúc và chưa đối chiếu học phần UIT để nêu gap/kế hoạch bù rõ ràng."
S0003,1.25,0.0,1.5,0.0,0.75,3.5,"Bài chọn 2 vị trí phù hợp và có mô tả/khảo sát theo quy trình, kèm một số tổng hợp kỹ năng và mức lương. Tuy nhiên thiếu JD cụ thể có link/nguồn và chưa đối chiếu rõ với CTĐT UIT để xác định gap; phần bổ sung còn ít và thiếu nguồn."
S0004,1.25,0.0,1.5,0.0,1.0,4.0,"Bài chọn 2 vị trí khá phù hợp và có mô tả/quy trình khảo sát, kèm một số phân tích tần suất và xu hướng. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), chưa đối chiếu với CTĐT UIT để nêu gap, và phần bổ sung/lương chưa có nguồn dẫn."
S0005,1.5,0.0,1.25,0.0,0.75,3.5,"Bài chọn được 2 vị trí khá phù hợp và có mô tả, tuy nhiên thiếu phần JD/nguồn tuyển dụng cụ thể (link/công ty/ngày). Phân tích và phần bổ sung còn chung chung, chưa đối chiếu với CTĐT UIT để chỉ ra gap và kế hoạch bù rõ ràng."
S0006,1.25,0.5,1.25,0.0,0.75,4.0,"Bài chọn đúng 2 vị trí và có thống kê/tần suất kỹ năng, mức lương cơ bản. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), phân tích chưa theo cấu trúc hard/soft/tools và chưa đối chiếu CTĐT UIT để nêu gap/kế hoạch bù rõ ràng."
S0007,1.25,1.0,1.5,0.0,1.0,5.0,"Bài chọn đúng 2 vị trí và có tổng hợp một số yêu cầu kỹ năng, kèm mức lương tham khảo. Tuy nhiên thiếu link/nguồn JD cụ thể (kèm ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap kỹ năng một cách rõ ràng."
S0008,1.25,0.5,1.5,0.25,1.0,4.5,"Bài chọn được 2 vị trí và có mô tả/khảo sát nội dung khá đầy đủ, có nhắc lương và xu hướng. Tuy nhiên thiếu nguồn/JD cụ thể (link, công ty, ngày truy cập) và chưa đối chiếu rõ với các học phần/hoạt động trong CTĐT UIT để xác định gap."
S0009,1.25,0.5,1.5,0.0,1.0,4.5,"Bài chọn đủ 2 vị trí và có mô tả/khảo sát kỹ năng, xu hướng, mức lương tương đối rõ. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), chưa đối chiếu với CTĐT UIT để nêu gap và kế hoạch bù chi tiết, và phần bổ sung còn thiếu nguồn dẫn."
S0010,1.0,1.0,1.5,0.5,1.0,5.0,"Bài chọn đúng 2 vị trí và có tổng hợp kỹ năng, lương khá nhiều, nhưng thiếu nguồn JD có link/ngày truy cập và phân tích còn thiên về liệt kê. Phần đối chiếu CTĐT UIT và xác định gap theo học phần/hoạt động cụ thể chưa rõ."
S0011,1.0,1.0,1.25,0.0,1.0,4.5,"Bài chọn 2 vị trí phù hợp và có thu thập nhiều JD cho Web Developer, nhưng thiếu JD/nguồn cho vị trí Quản lý sàn. Phân tích và kế hoạch còn chung chung, chưa đối chiếu với CTĐT UIT và phần bổ sung dữ liệu/nguồn chưa đầy đủ cho cả 2 vị trí."
S0012,1.0,0.0,1.25,0.0,0.75,3.0,"Bài chọn đúng 2 vị trí và có liệt kê kỹ năng/công cụ, kèm mức lương tham khảo. Tuy nhiên thiếu JD cụ thể có link/nguồn và chưa đối chiếu CTĐT UIT để xác định gap theo học phần, nên điểm còn thấp."
