MSSV,TC1(/2),TC2(/2),TC3(/2),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0001,1.25,1.25,1.5,1.25,0.75,6.0,"Bài trả lời nhìn chung bám câu hỏi và có nội dung, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ ở nhiều tiêu chí. Nhóm nền tảng học bổ sung và nguồn báo cáo/tạp chí còn liệt kê chưa đúng/thiếu uy tín (ví dụ Zoom/Meet, TaiLieu.vn, Studocu)."
S0002,1.0,1.25,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ và đúng ý chính ở nhiều câu, đặc biệt phần mục tiêu/CĐR và định hướng việc làm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần còn thiếu nhiều nên bị trừ điểm."
S0003,1.25,1.25,1.0,1.0,1.0,5.5,"Bài trả lời khá đầy đủ nội dung các câu nhưng hầu như không có dẫn nguồn/link theo yêu cầu, một số ý còn chung chung hoặc thiếu (nguồn báo cáo quốc tế, nguồn tạp chí/kỷ yếu). Cần bổ sung nguồn chính thống và liệt kê học phần/chuẩn tiếng Anh đúng theo CTĐT."
S0004,1.25,1.5,1.5,1.0,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, đặc biệt phần chuẩn đầu ra và khối kiến thức tốt nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (CNTT & nghiệp vụ) còn thiếu nhiều môn so với CTĐT."
S0005,1.25,1.5,1.25,1.0,1.0,6.0,"Bài trả lời nhìn chung đúng ý và có cấu trúc, nhưng hầu như thiếu dẫn nguồn UIT/daa. Một số câu còn chung chung hoặc thiếu thông tin cụ thể (đặc biệt chuẩn tiếng Anh và phần kỹ năng mềm/tài liệu tham khảo)."
S0006,1.25,1.25,1.5,1.0,1.5,6.5,"Bài trả lời khá đầy đủ và có nhiều ý/ ví dụ, tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần (CNTT và nghiệp vụ cốt lõi) còn thiếu nhiều môn và cần bám sát CTĐT hơn."
S0007,1.25,1.5,1.25,1.25,1.0,6.5,"Nội dung nhìn chung bám câu hỏi và có nhiều ý đúng, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu rubric. Một số phần còn thiếu/không cụ thể (đặc biệt chuẩn tiếng Anh và các câu 17-18), nên điểm dừng ở mức đạt một phần."
S0008,1.25,1.25,1.0,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có một số link ở phần sau, nhưng hầu hết các ý quan trọng (đặc biệt Câu 1-4, 6-7) thiếu dẫn nguồn UIT/daa.uit.edu.vn; Câu 8 bị bỏ trống và một số liệt kê học phần/nền tảng học còn thiếu, chưa cụ thể."
S0009,1.0,1.25,1.5,0.5,1.5,6.0,"Bài trả lời khá đầy đủ nhiều câu và có liệt kê chi tiết (đặc biệt CĐR, khối tốt nghiệp, nguồn học/báo cáo/tạp chí), nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Phần học phần cốt lõi TMĐT (Câu 10) bị thiếu và danh sách học phần CNTT còn rất ít so với CTĐT."
S0010,1.0,0.75,1.0,0.75,0.5,4.0,"Bài trả lời có đủ nhiều ý nhưng hầu như không có dẫn nguồn/link theo yêu cầu và nhiều thông tin còn chung chung/ước lượng (tín chỉ, chuẩn TA, danh mục môn). Cần bám sát CTĐT/daa.uit.edu.vn và bổ sung nguồn UIT cho từng ý chính."
S0011,1.25,1.25,1.5,1.0,1.0,6.0,"Bài trả lời khá đầy đủ các câu và nội dung nhìn chung đúng hướng, nhưng thiếu dẫn nguồn/link UIT/daa/CTĐT nên bị trừ nhiều điểm. Một số phần liệt kê học phần và ví dụ còn thiếu/chưa phân nhóm thật chuẩn."
S0012,1.25,1.5,1.5,1.0,1.0,6.5,"Bài trả lời khá đầy đủ các câu và có nhiều nội dung đúng trọng tâm, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Một số phần liệt kê học phần và mục nguồn tham khảo (báo cáo/tạp chí) còn thiếu và chưa đúng dạng/uy tín."
S0013,1.5,1.5,1.5,1.25,1.5,7.5,"Bài trả lời khá đầy đủ và đúng trọng tâm nhiều câu, có ví dụ minh họa. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần còn thiếu nhiều so với CTĐT."
S0014,1.25,1.0,1.25,1.0,0.75,5.5,"Bài trả lời có nội dung nhưng hầu như không có dẫn nguồn/link theo yêu cầu; một số ý còn chung chung và có chỗ chưa nhất quán (đặc biệt số tín chỉ/điều kiện tốt nghiệp, khối kiến thức tốt nghiệp). Cần bám sát CTĐT 2024/daa.uit.edu.vn, liệt kê đầy đủ hơn và chọn nguồn học thuật uy tín hơn."
S0015,1.25,1.25,1.5,1.5,1.5,7.0,"Bài làm trả lời khá đầy đủ và có cấu trúc, nhiều nội dung bám CTĐT. Tuy nhiên hầu như không có dẫn nguồn/link UIT/daa.uit.edu.vn và phần chuẩn đầu ra/chuẩn tiếng Anh trình bày chưa rõ ràng nên bị trừ điểm."
S0016,1.25,1.25,1.5,1.0,1.0,6.0,"Bài trả lời khá đầy đủ nội dung và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Một số phần liệt kê học phần và nguồn tạp chí/báo cáo còn thiếu chính xác hoặc chưa bám sát TMĐT."
S0017,1.25,1.0,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí. Phần liệt kê học phần (CNTT vs nghiệp vụ) còn thiếu và phân nhóm chưa thật chuẩn."
S0018,1.25,1.5,1.5,1.0,1.0,6.5,"Bài trả lời khá đầy đủ các câu hỏi và có cấu trúc, nhưng hầu như thiếu dẫn nguồn/link UIT/daa cho các ý chính. Một số phần còn liệt kê chung chung hoặc chưa bám chặt CTĐT (đặc biệt danh sách học phần và một vài thông tin điều kiện tốt nghiệp/nguồn tham khảo)."
